aliquot_uuid	aliquot_barcode
41df36db-590f-4410-8d1d-b9afbbc9cecc	TCGA-W5-AA2U-01A-11R-A41I-07
355d81ff-9689-4301-bd41-3df7403b533c	TCGA-4G-AAZT-01A-11R-A41I-07
b7c59af0-c0e2-4455-ab8c-2ea30b37a14f	TCGA-N9-A4Q1-01A-11R-A28V-07
e8d3931d-0611-4c2d-8c8c-1ef12b00a5e1	TCGA-S7-A7WU-01A-11R-A35L-07
bec47a82-4a30-4206-bb40-f7674028db1d	TCGA-66-2727-01A-01R-0980-07
b8152ff5-e2f1-44a5-8173-c6c75ec3a79c	TCGA-66-2773-01A-01R-1201-07
b1300b0f-5051-4e52-b1ff-5291f6653f0b	TCGA-18-5592-01A-01R-1635-07
6e6c90e7-2f98-4880-9e6e-d85966baa663	TCGA-51-4080-01A-01R-1100-07
d424d3e3-9055-4d6a-a7ce-debbd3537fcd	TCGA-39-5029-01A-01R-1443-07
95eea5e6-b72a-4dc6-a285-1c79bcf99465	TCGA-18-4086-01A-01R-1100-07
f31fd0a1-b600-42bc-a6fa-689c05a581ce	TCGA-33-4547-01A-01R-1201-07
48360943-522a-4dbe-a99c-5a1ac8fc4e47	TCGA-QR-A6H1-01A-11R-A35K-07
3cb7b861-6dba-4d54-bc04-c63a238e394e	TCGA-43-5668-01A-01R-1635-07
984b427f-6831-4ce5-8135-d25c0a2e62d2	TCGA-18-4083-01A-01R-1100-07
1190c768-24c0-4762-8701-dea5d35e8fe1	TCGA-66-2786-01A-01R-0851-07
88d40fcc-c30a-437f-b514-ef0a60f8836e	TCGA-22-4593-01A-21R-1820-07
2a016a06-5097-49b5-85b2-8ea5291fed23	TCGA-66-2744-01A-01R-0980-07
c5532e8c-8632-4e7a-8143-e062af4b1d60	TCGA-18-3416-01A-01R-0980-07
55aa5a0a-1fb8-4420-bcee-cf281b36fdab	TCGA-60-2708-01A-01R-0851-07
2d8e77a9-f69e-4c27-acaa-1ae73dbc5997	TCGA-22-5480-01A-01R-1635-07
7e152b9b-7115-4800-864e-e8162d617661	TCGA-60-2711-01A-01R-0851-07
adfbf8b6-405d-4887-b363-d130e20b70ef	TCGA-66-2759-01A-01R-0851-07
0275d061-9d9e-4f3e-9fcd-44566dd9ccd9	TCGA-QR-A70U-01A-11R-A35K-07
fa7be44d-ec78-4bbe-b5af-38e0744f14a9	TCGA-33-4532-01A-01R-1201-07
590b397c-38e0-4d77-9c7c-0d6cde2e5757	TCGA-60-2720-01A-01R-0851-07
518e09a8-84da-4247-b2f5-2c32e07ea046	TCGA-66-2780-01A-01R-0851-07
4d65f6a2-ba96-4ef3-9a47-13808922e76a	TCGA-60-2713-01A-01R-0851-07
659acaaf-d086-4066-8d30-7e33de4b8825	TCGA-56-7223-01A-11R-2045-07
21b53e5f-a306-46b8-a3a1-daf24a69264b	TCGA-37-5819-01A-01R-1635-07
56b4ee76-fe71-41fd-bb02-01cb4fcf5e38	TCGA-43-7657-01A-31R-2125-07
295ea773-28fb-40fe-af98-d8126f09382b	TCGA-90-7964-01A-21R-2187-07
aaa4291c-795b-4bca-aab5-6c0c795a7ef4	TCGA-S7-A7WV-01A-11R-A35L-07
f5255c17-4a9e-4532-88b1-880f3e933579	TCGA-22-4605-01A-21R-2125-07
990bafa2-fdcf-4e80-aeb3-702157438626	TCGA-68-7755-01A-11R-2125-07
c2624390-7f99-4346-b10d-568de512a8f9	TCGA-90-7769-01A-11R-2125-07
dcfd52b5-c7d6-44e3-8137-405cf0fff780	TCGA-52-7622-01A-11R-2125-07
8e49dba6-1d3d-4e60-aba7-a093fe5bbd41	TCGA-43-5670-01A-21R-2125-07
8382d0be-b114-40b4-9412-b0ae25ab0f5b	TCGA-77-8138-01A-11R-2247-07
0a5d5dd8-9391-424e-905e-6359845a153d	TCGA-92-8064-01A-11R-2247-07
9a7bfae6-39b5-4d65-953c-9a029b093808	TCGA-77-8154-01A-11R-2247-07
5802832e-0c7c-4ca1-b556-906a20be861e	TCGA-WB-A80Q-01A-11R-A35L-07
60b16987-41a4-4bcf-a550-939534eae800	TCGA-94-8035-01A-11R-2247-07
40c82f91-98b7-4c3f-8885-3ea4e383e7be	TCGA-58-8387-01A-11R-2296-07
4a3692a0-d9de-4cd3-9c4a-bbb087aa67c3	TCGA-58-8392-01A-11R-2326-07
e350f73a-df75-4956-a50d-f60a4295b85a	TCGA-85-8481-01A-11R-2326-07
4f8626b1-b8cd-41a2-b9b0-63847d2168be	TCGA-98-A53I-01A-31R-A262-07
